gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,average_score,performance_level,pass_status,reading_math_gap,average_score_z,outlier_status
female,group b,bachelor's degree,standard,none,72,72,74,72.66666666666667,medium,pass,0,0.3435742328399197,normal
female,group c,some college,standard,completed,69,90,88,82.33333333333333,high,pass,21,1.0219274975701507,normal
female,group b,master's degree,standard,none,90,95,93,92.66666666666667,high,pass,5,1.7470637460748817,normal
male,group a,associate's degree,free/reduced,none,47,57,44,49.333333333333336,low,pass,10,-1.293830199267536,normal
male,group c,some college,standard,none,76,78,75,76.33333333333333,medium,pass,2,0.6008806435996621,normal
female,group b,associate's degree,standard,none,71,83,78,77.33333333333333,medium,pass,12,0.6710551192614101,normal
female,group b,some college,standard,completed,88,95,92,91.66666666666667,high,pass,7,1.6768892704131335,normal
male,group b,some college,free/reduced,none,40,43,39,40.666666666666664,low,pass,3,-1.9020089883360198,normal
male,group d,high school,free/reduced,completed,64,64,67,65.0,medium,pass,0,-0.19443008056681602,normal
female,group b,high school,free/reduced,none,38,60,50,49.333333333333336,low,pass,22,-1.293830199267536,normal
male,group c,associate's degree,standard,none,58,54,52,54.666666666666664,low,pass,-4,-0.9195663290715466,normal
male,group d,associate's degree,standard,none,40,52,43,45.0,low,pass,12,-1.597919593801778,normal
female,group b,high school,standard,none,65,81,73,73.0,medium,pass,16,0.36696572472716876,normal
male,group a,some college,standard,completed,78,72,70,73.33333333333333,medium,pass,-6,0.3903572166144178,normal
female,group a,master's degree,standard,none,50,53,58,53.666666666666664,low,pass,3,-0.9897408047332946,normal
female,group c,some high school,standard,none,69,75,78,74.0,medium,pass,6,0.4371402003889169,normal
male,group c,high school,standard,none,88,89,86,87.66666666666667,high,pass,1,1.3961913677661413,normal
female,group b,some high school,free/reduced,none,18,32,28,26.0,low,fail,14,-2.9312346313749917,outlier
male,group c,master's degree,free/reduced,completed,46,42,46,44.666666666666664,low,pass,-4,-1.6213110856890276,normal
female,group c,associate's degree,free/reduced,none,54,58,61,57.666666666666664,low,pass,4,-0.7090429020863023,normal
male,group d,high school,standard,none,66,69,63,66.0,medium,pass,3,-0.12425560490506792,normal
female,group b,some college,free/reduced,completed,65,75,70,70.0,medium,pass,10,0.15644229774192447,normal
male,group d,some college,standard,none,44,54,53,50.333333333333336,low,pass,10,-1.223655723605788,normal
female,group c,some high school,standard,none,69,73,73,71.66666666666667,medium,pass,4,0.27339975717817167,normal
male,group d,bachelor's degree,free/reduced,completed,74,71,80,75.0,medium,pass,-3,0.5073146760506649,normal
male,group a,master's degree,free/reduced,none,73,74,72,73.0,medium,pass,1,0.36696572472716876,normal
male,group b,some college,standard,none,69,54,55,59.333333333333336,low,pass,-15,-0.592085442650055,normal
female,group c,bachelor's degree,standard,none,67,69,75,70.33333333333333,medium,pass,2,0.1798337896291735,normal
male,group c,high school,standard,none,70,70,65,68.33333333333333,medium,pass,0,0.03948483830567732,normal
female,group d,master's degree,standard,none,62,70,75,69.0,medium,pass,8,0.08626782208017639,normal
female,group d,some college,standard,none,69,74,74,72.33333333333333,medium,pass,5,0.3201827409526697,normal
female,group b,some college,standard,none,63,65,61,63.0,medium,pass,2,-0.3347790318903122,normal
female,group e,master's degree,free/reduced,none,56,72,65,64.33333333333333,medium,pass,16,-0.24121306434131506,normal
male,group d,some college,standard,none,40,42,38,40.0,low,pass,2,-1.9487919721105185,normal
male,group e,some college,standard,none,97,87,82,88.66666666666667,high,pass,-10,1.4663658434278892,normal
male,group e,associate's degree,standard,completed,81,81,79,80.33333333333333,high,pass,0,0.8815785462466545,normal
female,group d,associate's degree,standard,none,74,81,83,79.33333333333333,medium,pass,7,0.8114040705849064,normal
female,group d,some high school,free/reduced,none,50,64,59,57.666666666666664,low,pass,14,-0.7090429020863023,normal
female,group d,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,high,pass,15,1.1622764488936468,normal
male,group b,associate's degree,free/reduced,none,57,56,57,56.666666666666664,low,pass,-1,-0.7792173777480503,normal
male,group c,associate's degree,free/reduced,none,55,61,54,56.666666666666664,low,pass,6,-0.7792173777480503,normal
female,group c,associate's degree,standard,none,58,73,68,66.33333333333333,medium,pass,15,-0.10086411301781888,normal
female,group b,associate's degree,standard,none,53,58,65,58.666666666666664,low,pass,5,-0.6388684264245541,normal
male,group b,some college,free/reduced,completed,59,65,66,63.333333333333336,medium,pass,6,-0.3113875400030627,normal
female,group e,associate's degree,free/reduced,none,50,56,54,53.333333333333336,low,pass,6,-1.0131322966205436,normal
male,group b,associate's degree,standard,none,65,54,57,58.666666666666664,low,pass,-11,-0.6388684264245541,normal
female,group a,associate's degree,standard,completed,55,65,62,60.666666666666664,medium,pass,10,-0.49851947510105793,normal
female,group c,high school,standard,none,66,71,76,71.0,medium,pass,5,0.2266167734036726,normal
female,group d,associate's degree,free/reduced,completed,57,74,76,69.0,medium,pass,17,0.08626782208017639,normal
male,group c,high school,standard,completed,82,84,82,82.66666666666667,high,pass,2,1.0453189894574006,normal
male,group e,some college,standard,none,53,55,48,52.0,low,pass,2,-1.1066982641695413,normal
male,group e,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,medium,pass,-8,0.2500082652909216,normal
male,group c,some college,standard,none,53,44,42,46.333333333333336,low,pass,-9,-1.5043536262527804,normal
male,group d,high school,standard,none,88,78,75,80.33333333333333,high,pass,-10,0.8815785462466545,normal
female,group c,some high school,free/reduced,completed,71,84,87,80.66666666666667,high,pass,13,0.9049700381339045,normal
female,group c,high school,free/reduced,none,33,41,43,39.0,low,fail,8,-2.0189664477722666,outlier
female,group e,associate's degree,standard,completed,82,85,86,84.33333333333333,high,pass,3,1.1622764488936468,normal
male,group d,associate's degree,standard,none,52,55,49,52.0,low,pass,3,-1.1066982641695413,normal
